,price,lower,upper
1,179950,178670.83505350293,290622.95285986585
2,120000,111675.70452031033,200570.97661062112
3,415000,235939.8741409322,380777.7155397644
4,269995,262792.1872143561,458679.2392403458
5,210000,177899.83735699332,269482.12677659816
6,220000,171635.42086133215,293153.90410223126
7,325000,244152.13223982282,476593.97557666595
8,390000,288454.30299085245,512279.2974141099
9,295000,247379.20538303925,384707.55043835484
10,164950,178866.41278659907,323568.31959849666
11,230000,179928.10875624098,247135.14313525122
12,250000,171635.42086133215,301215.3739812324
13,275000,302371.7763416742,535541.6832986516
14,275000,261141.24720314995,422711.7804779678
15,158950,138857.7666232671,253397.0288475768
16,360000,203700.45923180273,353653.2321938026
17,445000,274200.8287030721,514760.9125288703
18,325000,228302.2869634151,417486.13247048866
19,230000,171635.42086133215,298642.74696276325
20,154950,128949.23352449361,222113.3323905332
21,210000,179717.18215761153,282081.9946503714
22,165000,83298.74723457916,164581.75410865436
23,294995,282234.0637393521,508810.04520713974
24,220000,188395.25187591778,308530.9825144904
25,500000,234843.17842627238,410438.1062887629
26,270000,226057.39190204485,361091.2661422244
27,188995,169350.31827764263,259744.7013947206
28,480000,304806.645982064,586638.4309280502
29,360000,187254.1996078876,367528.19528649386
30,465000,324065.28704007756,617636.8669471786
31,168000,72427.71367818852,236844.30425650606
32,395000,233722.0386741607,436696.228629195
33,210000,157171.59001979418,263588.73162753833
34,207950,121953.41293885259,234096.54865581906
35,220000,186915.82384903892,271249.2023218464
36,285000,260266.92692299793,483564.3710391581
37,135000,114149.58711084386,218124.493205876
38,139950,119937.75195873203,232534.50256424255
39,185000,167770.51433225384,273737.5302182868
40,329950,231146.00921447034,449999.85249551584
41,220000,159019.30163670142,239360.1260068379
42,565000,294965.10638851667,663776.5303915228
43,125000,171849.05394925628,269482.12677659816
44,495000,349304.2282822511,828239.0223292328
45,240000,167145.00761921133,296569.192546
46,125000,63473.06098365246,201350.93968509985
47,475000,289045.26761906565,550041.4844044131
48,180000,136722.72146575607,220031.69393768997
49,375000,264674.0696126746,513252.9776748699
50,180000,159301.55638519325,274577.64985130355
51,165000,138071.7287483067,210184.8740566227
52,99995,105595.65632723381,253900.89644192057
53,120000,111675.70452031033,200570.97661062112
54,135000,139799.97491231188,209794.82736809793
55,235000,253981.31206682423,742855.8197112941
56,320000,233652.36594127578,435124.98223887046
57,120000,110580.70380718478,201116.0877373575
58,200000,203234.19651587246,306846.2578503598
59,145000,135751.99751526891,214492.14410996783
60,450000,287691.4734581381,547430.7181561254
61,87500,77946.78969132777,162959.2389432163
62,300000,146707.89535319334,267481.0219792065
63,160000,145045.13440498593,195995.60830484962
64,350000,233059.78414001068,400811.4055324426
65,177500,133225.03136229492,194373.09313941156
66,219950,84133.91873747615,248394.33103803158
67,675000,333474.9053592474,678927.5387250553
68,265000,234567.25902045838,649677.942079585
69,240000,205401.33492592536,407819.49222781893
70,190000,187539.25802219252,360388.4233260072
71,128950,81683.01402087924,164581.75410865436
72,190000,166291.08630537504,273737.5302182868
73,435000,351838.64991977165,834284.046447157
74,182000,133171.08645630267,275440.3739354714
75,240000,170803.91056713017,269619.02641198784
76,200000,138712.61734481435,250761.81655262012
77,105000,83515.30577842562,170808.75711504873
78,350000,172552.94537096506,374406.4736409192
79,260000,145620.0124002438,330738.4160874437
80,70000,74250.98736568958,244375.1819423747
81,98000,81462.4420477581,175825.9196460503
82,600000,315695.70721233176,613833.6721820317
83,165000,135135.43710723694,207239.77384224554
84,140000,107752.36738605157,225152.17337019785
85,535000,291106.3604748805,635163.7127874763
86,210000,164656.78244779288,295645.8344268823
87,75000,69058.47465587326,188617.8397414947
88,400000,262961.4269961982,481941.85587372
89,200000,161506.55730021995,257694.3319944493
90,210000,179313.91904247127,262722.918896536
91,385000,334992.89593735995,836845.552338364
92,325000,279739.0824324012,531975.4728483587
93,335000,311956.2115890189,639050.9763299502
94,60000,77731.34314413507,212123.92582715114
95,240000,178025.4717863178,281480.9967757863
96,425000,263826.0444333973,695668.8082466441
97,160000,127921.30007781956,194373.09313941156
98,245995,202892.26807634623,279408.8135665665
99,400000,222190.72371202847,474755.1073166315
